Date,Principal,AUM,Benchmark
4/3/23,0.01,0.01,0.01
4/4/23,1.0,1.0,1.0
4/5/23,2.0,1.96,2.0
4/6/23,2.1,2.14,2.09
4/7/23,2.1,2.14,2.1
4/10/23,5.0,5.03,5.0
4/11/23,5.0,5.03,5.0
4/12/23,5.0,5.07,5.0
4/13/23,5.0,5.26,4.98
4/14/23,5.0,5.17,5.05
4/17/23,5.0,4.98,5.04
4/18/23,5.0,5.07,5.06
4/19/23,5.0,4.99,5.06
4/20/23,5.0,5.19,5.06
4/21/23,5.0,5.18,5.03
4/24/23,5.0,5.35,5.03
4/25/23,5.0,4.99,5.04
4/26/23,5.0,5.27,4.96
4/27/23,10.0,10.89,9.94
4/28/23,10.0,11.32,10.14
5/1/23,10.0,11.18,10.22
5/2/23,10.0,11.47,10.21
5/3/23,10.0,11.49,10.1
5/4/23,10.0,11.41,10.03
5/5/23,10.0,12.07,9.96
5/8/23,10.0,11.89,10.14
5/9/23,10.0,11.86,10.15
5/10/23,15.0,17.64,15.1
5/11/23,15.0,17.63,15.17
5/12/23,15.0,17.06,15.14
5/15/23,15.0,17.29,15.12
5/16/23,15.0,17.01,15.18
5/17/23,15.0,16.92,15.08
5/18/23,15.0,16.16,15.26
5/19/23,15.0,15.91,15.41
5/22/23,15.0,16.23,15.38
5/23/23,20.0,21.2,20.39
5/24/23,20.0,20.58,20.16
5/25/23,20.0,20.54,20.01
5/26/23,20.0,20.62,20.19
5/29/23,20.0,20.62,20.45
5/30/23,20.0,20.98,20.45
5/31/23,20.0,20.42,20.46
6/1/23,20.0,22.21,20.34
6/2/23,20.0,22.29,20.54
6/5/23,20.0,22.94,20.83
6/6/23,20.0,23.08,20.79
6/7/23,20.0,22.39,20.84
6/8/23,20.0,23.59,20.77
6/9/23,22.5,25.73,23.39
6/12/23,22.5,24.42,23.43
6/13/23,27.5,30.59,28.65
6/14/23,30.0,32.9,31.34
6/15/23,30.0,35.39,31.37
6/16/23,30.0,35.19,31.76
6/19/23,30.0,35.19,31.65
6/20/23,30.0,35.41,31.65
6/21/23,30.0,35.14,31.49
6/22/23,30.0,34.23,31.33
6/23/23,30.0,33.05,31.44
6/26/23,30.0,32.75,31.2
6/27/23,30.0,33.32,31.08
6/28/23,30.0,34.33,31.42
6/29/23,30.0,35.2,31.43
6/30/23,30.0,35.89,31.56
7/3/23,30.0,35.68,31.93
7/4/23,30.0,35.68,31.97
7/5/23,30.0,36.72,31.97
7/6/23,30.0,37.15,31.92
7/7/23,30.0,38.06,31.67
7/10/23,30.0,38.82,31.59
7/11/23,30.0,39.05,31.67
7/12/23,30.0,38.89,31.87
7/13/23,35.0,44.05,37.13
